# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Mon Nov 21 17:57:42 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.027842 0.30000 6.00000 0.2192400694 1.7553486213    0.219 -0.651  3.4859  3.325    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.398 7.936 9.770 6.629
0.027842 0.30000 6.00000 0.2295682877 1.7855244747    0.229 -0.628  3.4900  3.338    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.340 7.851 9.657 6.552
0.027842 0.30000 6.00000 0.2401542366 1.8146748841    0.240 -0.590  3.4948  3.339    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.246 7.731 9.517 6.440
0.027842 0.30000 6.00000 0.2509034574 1.8426136462    0.250 -0.545  3.5001  3.334    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.132 7.592 9.356 6.308
0.027842 0.30000 6.00000 0.2563712001 1.8562348604    0.256 -0.520  3.5029  3.330    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.070 7.514 9.262 6.235
0.027842 0.30000 6.00000 0.2720995545 1.8934009223    0.272 -0.510  3.5068  3.361    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.045 7.449 9.165 6.180
0.027842 0.30000 6.00000 0.2881979048 1.9286554237    0.288 -0.495  3.5113  3.389    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.007 7.368 9.049 6.111
0.027842 0.30000 6.00000 0.3046254516 1.9620853010    0.304 -0.465  3.5167  3.405    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.932 7.244 8.878 6.002
0.027842 0.30000 6.00000 0.3230611384 1.9969173571    0.323 -0.435  3.5220  3.422    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.857 7.122 8.714 5.894
0.027842 0.30000 6.00000 0.3473772109 2.0390977394    0.347 -0.407  3.5282  3.450    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.787 6.997 8.545 5.785
0.027842 0.30000 6.00000 0.3695836365 2.0743950018    0.369 -0.377  3.5340  3.471    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.713 6.875 8.380 5.678
0.027842 0.30000 6.00000 0.4038451016 2.1237672988    0.404 -0.331  3.5424  3.497    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.599 6.687 8.126 5.513
0.027842 0.30000 6.00000 0.4043265283 2.1244218962    0.404 -0.331  3.5425  3.497    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.597 6.685 8.123 5.511
0.027842 0.30000 6.00000 0.4337137938 2.1625618171    0.433 -0.288  3.5498  3.514    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.490 6.511 7.887 5.360
0.027842 0.30000 6.00000 0.4537084699 2.1866416557    0.453 -0.261  3.5545  3.525    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.421 6.394 7.725 5.260
0.027842 0.30000 6.00000 0.4758695066 2.2117686335    0.476 -0.228  3.5598  3.535    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.340 6.257 7.537 5.144
0.027842 0.30000 6.00000 0.5030903816 2.2406174056    0.503 -0.190  3.5660  3.546    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.246 6.094 7.309 5.007
0.027842 0.30000 6.00000 0.5524722934 2.2856946192    0.552 -0.132  3.5767  3.571    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.100 5.835 6.947 4.795
0.027842 0.30000 6.00000 0.5658003092 2.2963209315    0.565 -0.115  3.5793  3.575    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.11e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 5.058 5.767 6.854 4.738
0.027842 0.30000 6.00000 0.5869724751 2.3120657913    0.587 -0.088  3.5838  3.582    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.991 5.657 6.706 4.647
0.027842 0.30000 6.00000 0.6018542051 2.3223735816    0.602 -0.070  3.5870  3.587    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.945 5.581 6.603 4.585
0.027842 0.30000 6.00000 0.6038616896 2.3237194077    0.604 -0.068  3.5874  3.588    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.940 5.573 6.591 4.578
0.027842 0.30000 6.00000 0.6253787279 2.3375227687    0.625 -0.042  3.5914  3.594    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.875 5.469 6.454 4.492
0.027842 0.30000 6.00000 0.6479665041 2.3508846898    0.648 -0.015  3.5959  3.600    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.808 5.359 6.307 4.402
0.027842 0.30000 6.00000 0.6512361765 2.3527307656    0.651 -0.011  3.5966  3.601    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.798 5.342 6.285 4.388
0.027842 0.30000 6.00000 0.6658830047 2.3607451943    0.666  0.005  3.5991  3.605    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.757 5.278 6.201 4.335
0.027842 0.30000 6.00000 0.6902453303 2.3732133715    0.690  0.033  3.6036  3.610    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.59e-13      0.00 6.732e-01 2.987e-01 5.062e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.687 5.172 6.064 4.246
0.027842 0.30000 6.00000 0.7006180882 2.3782202746    0.701  0.045  3.6056  3.613    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-13      0.00 6.732e-01 2.987e-01 5.062e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 4.658 5.126 6.005 4.208
0.027842 0.30000 6.00000 0.7466271520 2.3985134836    0.747  0.118  3.6245  3.644    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.91e-13      0.00 6.732e-01 2.987e-01 5.001e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.476 4.798 5.560 3.949
0.027842 0.30000 6.00000 0.7500000000 2.3998889087    0.750  0.123  3.6259  3.646    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.462 4.773 5.527 3.929
0.027842 0.30000 6.00000 0.7857790589 2.4136473672    0.786  0.156  3.6299  3.649    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.380 4.662 5.394 3.832
0.027842 0.30000 6.00000 0.8000000119 2.4187244405    0.800  0.168  3.6315  3.651    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.13e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.349 4.621 5.346 3.796
0.027842 0.30000 6.00000 0.8372387290 2.4310844863    0.837  0.199  3.6353  3.655    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.27e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.272 4.521 5.227 3.708
0.027842 0.30000 6.00000 0.8500000238 2.4350346840    0.850  0.210  3.6366  3.655    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.33e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.245 4.485 5.184 3.676
0.027842 0.30000 6.00000 0.8868058324 2.4456990225    0.886  0.239  3.6400  3.659    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.47e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.173 4.391 5.074 3.593
0.027842 0.30000 6.00000 0.8999999762 2.4492786016    0.899  0.250  3.6412  3.659    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.53e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.146 4.358 5.035 3.563
0.027842 0.30000 6.00000 0.9322685003 2.4575441807    0.932  0.273  3.6440  3.662    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.65e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.087 4.284 4.949 3.497
0.027842 0.30000 6.00000 0.9499999285 2.4618121728    0.950  0.287  3.6455  3.663    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 4.053 4.241 4.900 3.459
0.027842 0.30000 6.00000 1.0000000000 2.4729154477    1.000  0.322  3.6495  3.666    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.964 4.131 4.772 3.360
0.027842 0.30000 6.00000 1.0499999523 2.4828114860    1.050  0.357  3.6533  3.667    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.86e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.877 4.026 4.653 3.266
0.027842 0.30000 6.00000 1.0970305204 2.4911793523    1.096  0.388  3.6565  3.668    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.801 3.935 4.550 3.184
0.027842 0.30000 6.00000 1.1000000238 2.4916801480    1.099  0.390  3.6567  3.668    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.74e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.796 3.929 4.544 3.179
0.027842 0.30000 6.00000 1.1499999762 2.4996678137    1.149  0.420  3.6599  3.670    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.721 3.839 4.441 3.097
0.027842 0.30000 6.00000 1.1829457283 2.5045087244    1.182  0.439  3.6619  3.672    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.46e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.674 3.784 4.379 3.047
0.027842 0.30000 6.00000 1.2000000477 2.5068948796    1.200  0.448  3.6629  3.672    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -3.4e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.649 3.755 4.347 3.021
0.027842 0.30000 6.00000 1.2126923800 2.5086207209    1.212  0.455  3.6636  3.674    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.33e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.634 3.737 4.326 3.005
0.027842 0.30000 6.00000 1.2500000000 2.5134610955    1.250  0.475  3.6657  3.675    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.582 3.677 4.259 2.950
0.027842 0.30000 6.00000 1.2993608713 2.5193766507    1.299  0.502  3.6684  3.675    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.95e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.515 3.599 4.172 2.879
0.027842 0.30000 6.00000 1.2999999523 2.5194498592    1.300  0.502  3.6684  3.675    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.95e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.514 3.598 4.171 2.878
0.027842 0.30000 6.00000 1.3124183416 2.5208561598    1.312  0.508  3.6690  3.676    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.88e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.500 3.581 4.152 2.863
0.027842 0.30000 6.00000 1.3500000238 2.5249313598    1.350  0.528  3.6709  3.676    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.451 3.525 4.089 2.812
0.027842 0.30000 6.00000 1.3944410086 2.5294258712    1.395  0.549  3.6730  3.678    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.398 3.464 4.022 2.756
0.027842 0.30000 6.00000 1.3999999762 2.5299650300    1.400  0.552  3.6733  3.677    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.390 3.456 4.012 2.749
0.027842 0.30000 6.00000 1.4500000477 2.5346015836    1.450  0.577  3.6755  3.677    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.328 3.386 3.936 2.685
0.027842 0.30000 6.00000 1.4814388752 2.5373333421    1.482  0.590  3.6769  3.678    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.295 3.348 3.893 2.650
0.027842 0.30000 6.00000 1.5000000000 2.5388844597    1.500  0.599  3.6777  3.678    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.272 3.322 3.865 2.626
0.027842 0.30000 6.00000 1.5499999523 2.5428511323    1.550  0.622  3.6797  3.677    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-13      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.216 3.258 3.795 2.567
0.027842 0.30000 6.00000 1.6000000238 2.5465340628    1.600  0.643  3.6816  3.677    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.17e-14      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.162 3.198 3.729 2.512
0.027842 0.30000 6.00000 1.6349016428 2.5489519039    1.634  0.656  3.6830  3.679    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.75e-14      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.129 3.161 3.688 2.478
0.027842 0.30000 6.00000 1.6499999762 2.5499614773    1.649  0.663  3.6835  3.678    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.73e-14      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.112 3.142 3.668 2.461
0.027842 0.30000 6.00000 1.6749999523 2.5515872080    1.674  0.674  3.6844  3.677    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.085 3.112 3.635 2.433
0.027842 0.30000 6.00000 1.7000000477 2.5531580802    1.699  0.684  3.6853  3.678    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.061 3.085 3.606 2.408
0.027842 0.30000 6.00000 1.7250001431 2.5546767043    1.724  0.694  3.6861  3.677    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.034 3.056 3.574 2.380
0.027842 0.30000 6.00000 1.7347553968 2.5552556492    1.734  0.697  3.6865  3.678    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.027 3.047 3.564 2.373
0.027842 0.30000 6.00000 1.7500000000 2.5561455243    1.749  0.703  3.6870  3.678    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.732e-01 2.987e-01 4.996e-03 1.365e-03 1.239e-02 -1.000 2.816e-02 3.012 3.031 3.546 2.358
