GaiaDR3,label,stability,Dist,X,Y,Z,VtRA,VtDE,VtRALSR,VtDELSR,RV,Simbad,Region,Group,Bstar,RAdeg,DEdeg,e_RAdeg,e_DEdeg,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,BP-RP,BP-G,G-RP,RV_DR3,e_RV,n_RV,o_RV,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000
6107185251419688320,20,100.0,138.702,88.9783,-100.11,36.0344,-16.89,-12.26,-2.258,-1.708,7.4067,Simbad,"UCL","nu Cen","* nu Cen",205.21866427488,-46.97702537977,0.0161,0.0123,7.2097,0.0195,-25.689,0.017,-18.653,0.015,1.025,232,135191.02328,139.987,965.742,12.859997,0.002976,25,40433.8,148.84,271.66,13.821681,0.004874,25,139505.0,361.311,386.109,11.886419,0.004711,1.935262,0.961684,0.973577,6.23,4.47,1,15,205.21883161362,-46.9769424774,0.278575,0.236431
6107185285779428608,20,99.9,133.935,85.9236,-96.666,34.803,-16.48,-11.56,-1.844,-1.002,7.4054,Simbad,"UCL","nu Cen","* nu Cen",205.22156976982,-46.97344828082,0.1299,0.1019,7.4663,0.1499,-25.951,0.173,-18.205,0.125,0.896,230,1392.27794,3.56371,390.682,17.828053,0.003913,25,119.624,14.4886,8.2564,20.143995,0.131532,25,2168.67,11.1571,194.376,16.407412,0.006744,3.736584,2.315943,1.420641,,,,,205.22173880254,-46.97336737021,2.789767,2.019875
6107190611539297792,20,75.1,144.967,93.3353,-104.27,37.8454,-16.17,-11.45,-1.577,-0.847,7.3338,Simbad,"UCL","nu Cen","* nu Cen",205.47819851221,-46.86443916535,0.0426,0.0386,6.8981,0.0529,-23.536,0.048,-16.663,0.044,1.004,263,6870.00952,11.768,583.789,16.094973,0.003324,28,970.008,11.3294,85.6189,17.871603,0.012984,28,9338.82,39.4278,236.859,14.822165,0.005941,3.049438,1.77663,1.272807,,,,,205.47835150156,-46.86436510931,0.781369,0.729601
6107209200157988864,20,100.0,129.838,84.5356,-92.413,34.2294,-16.6,-12.24,-2.116,-1.492,7.1228,Simbad,"UCL","nu Cen","* nu Cen",206.28266691474,-46.5913385894,0.0267,0.0216,7.7019,0.0324,-26.973,0.033,-19.892,0.027,1.068,293,20498.84551,26.3904,776.754,14.908043,0.00309,34,3231.71,22.6021,142.983,16.564962,0.00809,33,27005.8,78.628,343.463,13.669253,0.004927,2.895709,1.656919,1.23879,7.45,5.56,2,13,206.28284136071,-46.59125018231,0.541948,0.441263
6107222944053761536,20,100.0,131.976,85.4792,-94.178,35.2337,-16.6,-12.26,-2.06,-1.581,7.1622,Simbad,"UCL","nu Cen","* nu Cen",205.91609263468,-46.44284549235,0.0246,0.0225,7.5771,0.0308,-26.529,0.027,-19.602,0.028,1.04,279,18592.10365,22.6198,821.94,15.014046,0.003056,30,2899.65,19.9029,145.69,16.682678,0.007958,31,24568.3,93.9932,261.384,13.771958,0.005616,2.91072,1.668633,1.242087,9.83,7.74,2,12,205.91626373951,-46.44275837203,0.445599,0.45554
6107254692451172224,20,83.4,123.865,79.3392,-89.161,33.1371,-15.86,-11.38,-1.215,-0.842,7.3293,Simbad,"UCL","nu Cen","* nu Cen",205.13340900099,-46.52055237129,0.0442,0.0355,8.0733,0.0551,-27.011,0.044,-19.382,0.039,2.907,271,5234758.47135,3059.61,1710.93,8.890125,0.002827,31,2923880.0,6842.43,427.315,9.173644,0.003774,30,3345960.0,7105.93,470.869,8.436594,0.004427,0.73705,0.283519,0.453531,11.3,1.53,1,8,205.13358346354,-46.52046623088,0.718032,0.635724
6107256032480918400,20,100.0,131.301,83.7745,-94.84,35.0287,-16.49,-11.9,-1.803,-1.416,7.3992,Simbad,"UCL","nu Cen","* nu Cen",204.8584313592,-46.60306543601,0.0337,0.0262,7.6161,0.0406,-26.485,0.041,-19.125,0.033,1.146,262,14415.76229,11.6921,1232.95,15.290273,0.002893,25,2179.76,14.1508,154.039,16.99252,0.007581,27,19105.0,43.036,443.931,14.045028,0.004502,2.947492,1.702247,1.245245,,,,,204.85860268954,-46.60298043433,0.663064,0.534421
6107279530245181952,20,97.4,143.947,93.3933,-102.38,38.9398,-16.34,-12.82,-1.822,-2.111,7.0877,Simbad,"UCL","nu Cen","* nu Cen",206.04726920527,-46.20780154174,0.6949,0.6979,6.947,0.8523,-23.946,0.868,-18.781,0.967,1.063,229,129.92901,1.00358,129.465,20.403101,0.008827,17,39.5849,6.23509,6.34874,21.344717,0.171039,26,237.235,8.63193,27.4834,18.809948,0.039686,2.534769,0.941616,1.593153,,,,,206.047422994,-46.20771807118,14.007263,15.87142
6107289533226214400,20,100.0,129.887,83.7813,-92.724,35.4074,-16.65,-12.66,-2.076,-2.03,7.1524,Simbad,"UCL","nu Cen","* nu Cen",205.64083038882,-46.14063003385,0.0313,0.0313,7.699,0.0408,-27.043,0.035,-20.562,0.035,1.087,305,12142.87844,22.8958,530.354,15.476563,0.003433,34,1568.72,15.5161,101.103,17.349678,0.011095,33,16823.1,79.5414,211.501,14.183131,0.006375,3.166547,1.873116,1.293431,,,,,205.64100384969,-46.14053864801,0.571362,0.581728
6107293003559799424,20,100.0,140.13,90.448,-99.938,38.313,-16.68,-12.56,-2.107,-1.919,7.1311,Simbad,"UCL","nu Cen","* nu Cen",205.69011050845,-46.08419865326,0.0352,0.0316,7.1362,0.0458,-25.103,0.039,-18.904,0.037,1.147,292,11553.16584,11.4418,1009.73,15.530614,0.002958,33,1488.63,12.1898,122.121,17.406578,0.009318,32,16091.8,33.0081,487.513,14.231381,0.004387,3.175197,1.875964,1.299232,,,,,205.69027136459,-46.08411463366,0.629144,0.601114
6107300459623043712,20,100.0,136.006,87.8214,-96.863,37.4505,-16.58,-12.17,-2.016,-1.525,7.0985,Simbad,"UCL","nu Cen","* nu Cen",205.72466535213,-45.96046371628,0.0236,0.0198,7.3526,0.0285,-25.715,0.025,-18.875,0.024,1.12,274,25818.31462,19.7887,1304.7,14.657547,0.002878,29,4566.08,23.7192,192.506,16.189684,0.006292,30,32959.1,57.1651,576.561,13.452956,0.004223,2.736728,1.532137,1.204591,4.17,4.33,2,11,205.72482976163,-45.96037982886,0.403367,0.385673
6107319215739016960,20,100.0,138.71,90.9114,-97.812,37.5306,-16.51,-12.37,-2.091,-1.531,6.9235,Simbad,"UCL","nu Cen","* nu Cen",206.77201637956,-46.09315185236,0.0244,0.0204,7.2093,0.0288,-25.102,0.029,-18.808,0.023,1.215,282,26581.4146,25.0522,1061.04,14.625921,0.002939,32,4697.54,33.3527,140.844,16.158865,0.008198,31,33971.2,61.6648,550.901,13.420118,0.004262,2.738747,1.532944,1.205803,9.11,3.41,2,18,206.77217725609,-46.09306825994,0.47171,0.37221
6107350315603531136,20,87.5,145.903,96.4208,-101.96,39.9302,-16.93,-12.85,-2.598,-1.911,6.7447,Simbad,"UCL","nu Cen","* nu Cen",207.37745946834,-45.80490839933,0.0182,0.0136,6.8539,0.0202,-24.472,0.02,-18.583,0.018,1.031,324,2392708.53079,713.567,3353.17,9.740143,0.002774,38,1369030.0,1100.8,1243.66,9.997512,0.002924,37,1484600.0,690.562,2149.85,9.318871,0.003813,0.678641,0.257369,0.421272,8.93,0.81,1,8,207.37761549298,-45.80482580872,0.324224,0.287231
6107373096110125440,20,100.0,128.268,84.5033,-89.565,35.9143,-16.38,-12.69,-2.024,-1.787,6.7102,Simbad,"UCL","nu Cen","* nu Cen",207.1652983991,-45.45287459012,0.0182,0.0217,7.7962,0.0199,-26.943,0.021,-20.863,0.026,1.105,300,84475.44692,246.895,342.151,13.370541,0.004203,39,20142.5,238.662,84.3974,14.578261,0.013164,39,98254.2,630.983,155.716,12.267017,0.007931,2.311244,1.207721,1.103523,,,,,207.16546909998,-45.45278186487,0.346051,0.427212
6107381582964652672,20,100.0,135.299,88.0034,-95.782,37.2424,-16.39,-12.4,-1.895,-1.662,6.9836,Simbad,"UCL","nu Cen","* nu Cen",206.23891680481,-45.88959055026,0.0335,0.0267,7.3911,0.0386,-25.548,0.038,-19.332,0.032,1.241,320,16767.84125,9.61889,1743.22,15.126174,0.002825,39,2102.73,9.68231,217.172,17.031584,0.005725,36,23491.9,25.1014,935.88,13.820599,0.003953,3.210985,1.90541,1.305575,8.89,3.78,2,13,206.2390799394,-45.88950462821,0.623591,0.521493
6107428380928701184,20,84.5,116.6,76.2168,-81.913,32.8145,-16.01,-12.18,-1.571,-1.381,6.8194,Simbad,"UCL","nu Cen","* nu Cen",206.60833176254,-45.45517908937,0.1073,0.102,8.5764,0.1353,-28.965,0.115,-22.037,0.11,1.796,250,28931.16983,36.1328,800.689,14.533952,0.003071,31,7618.66,140.302,54.3017,15.633846,0.020188,31,42885.8,225.212,190.424,13.16711,0.006841,2.466736,1.099895,1.366841,-0.57,9.18,2,4,206.60851528097,-45.45508114743,1.870795,1.790402
